timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 07:52:25.086, [N/A], [N/A], 237 MiB, 81920 MiB, 108.69 W
2026/08/03 07:52:25.122, [N/A], [N/A], 237 MiB, 81920 MiB, 111.14 W
2026/08/03 07:52:25.125, [N/A], [N/A], 203 MiB, 81920 MiB, 114.51 W
2026/08/03 07:52:25.127, [N/A], [N/A], 203 MiB, 81920 MiB, 101.39 W
2026/08/03 07:52:25.129, [N/A], [N/A], 203 MiB, 81920 MiB, 108.88 W
2026/08/03 07:52:25.131, 88 %, 63 %, 8817 MiB, 81920 MiB, 277.58 W
2026/08/03 07:52:55.132, [N/A], [N/A], 237 MiB, 81920 MiB, 107.10 W
2026/08/03 07:52:55.166, [N/A], [N/A], 237 MiB, 81920 MiB, 109.38 W
2026/08/03 07:52:55.193, [N/A], [N/A], 203 MiB, 81920 MiB, 110.98 W
2026/08/03 07:52:55.196, [N/A], [N/A], 203 MiB, 81920 MiB, 100.01 W
2026/08/03 07:52:55.198, [N/A], [N/A], 203 MiB, 81920 MiB, 107.29 W
2026/08/03 07:52:55.201, 94 %, 77 %, 8817 MiB, 81920 MiB, 300.80 W
2026/08/03 07:53:25.201, [N/A], [N/A], 237 MiB, 81920 MiB, 104.08 W
2026/08/03 07:53:25.235, [N/A], [N/A], 237 MiB, 81920 MiB, 104.69 W
2026/08/03 07:53:25.256, [N/A], [N/A], 203 MiB, 81920 MiB, 106.44 W
2026/08/03 07:53:25.259, [N/A], [N/A], 203 MiB, 81920 MiB, 97.64 W
2026/08/03 07:53:25.261, [N/A], [N/A], 203 MiB, 81920 MiB, 103.76 W
2026/08/03 07:53:25.264, 100 %, 91 %, 8817 MiB, 81920 MiB, 299.13 W
2026/08/03 07:53:55.265, [N/A], [N/A], 237 MiB, 81920 MiB, 99.38 W
2026/08/03 07:53:55.267, [N/A], [N/A], 237 MiB, 81920 MiB, 101.51 W
2026/08/03 07:53:55.270, [N/A], [N/A], 203 MiB, 81920 MiB, 101.95 W
2026/08/03 07:53:55.272, [N/A], [N/A], 203 MiB, 81920 MiB, 95.24 W
2026/08/03 07:53:55.274, [N/A], [N/A], 203 MiB, 81920 MiB, 99.26 W
2026/08/03 07:53:55.276, 100 %, 91 %, 8817 MiB, 81920 MiB, 297.97 W
2026/08/03 07:54:25.276, [N/A], [N/A], 237 MiB, 81920 MiB, 97.13 W
2026/08/03 07:54:25.279, [N/A], [N/A], 237 MiB, 81920 MiB, 98.93 W
2026/08/03 07:54:25.281, [N/A], [N/A], 203 MiB, 81920 MiB, 96.35 W
2026/08/03 07:54:25.283, [N/A], [N/A], 203 MiB, 81920 MiB, 93.58 W
2026/08/03 07:54:25.286, [N/A], [N/A], 203 MiB, 81920 MiB, 97.18 W
2026/08/03 07:54:25.288, 100 %, 91 %, 8817 MiB, 81920 MiB, 218.40 W
2026/08/03 07:54:55.288, [N/A], [N/A], 237 MiB, 81920 MiB, 95.61 W
2026/08/03 07:54:55.322, [N/A], [N/A], 237 MiB, 81920 MiB, 96.41 W
2026/08/03 07:54:55.358, [N/A], [N/A], 203 MiB, 81920 MiB, 94.52 W
2026/08/03 07:54:55.361, [N/A], [N/A], 203 MiB, 81920 MiB, 91.61 W
2026/08/03 07:54:55.363, [N/A], [N/A], 203 MiB, 81920 MiB, 95.86 W
2026/08/03 07:54:55.366, 86 %, 52 %, 8817 MiB, 81920 MiB, 297.37 W
2026/08/03 07:55:25.367, [N/A], [N/A], 237 MiB, 81920 MiB, 94.87 W
2026/08/03 07:55:25.385, [N/A], [N/A], 237 MiB, 81920 MiB, 95.61 W
2026/08/03 07:55:25.388, [N/A], [N/A], 203 MiB, 81920 MiB, 93.50 W
2026/08/03 07:55:25.391, [N/A], [N/A], 203 MiB, 81920 MiB, 91.07 W
2026/08/03 07:55:25.393, [N/A], [N/A], 203 MiB, 81920 MiB, 95.09 W
2026/08/03 07:55:25.395, 100 %, 91 %, 8817 MiB, 81920 MiB, 227.16 W
2026/08/03 07:55:55.396, [N/A], [N/A], 237 MiB, 81920 MiB, 95.46 W
