timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 10:24:47.443, [N/A], [N/A], 237 MiB, 81920 MiB, 111.19 W
2026/08/03 10:24:47.463, [N/A], [N/A], 237 MiB, 81920 MiB, 113.46 W
2026/08/03 10:24:47.466, [N/A], [N/A], 203 MiB, 81920 MiB, 116.38 W
2026/08/03 10:24:47.472, [N/A], [N/A], 203 MiB, 81920 MiB, 102.61 W
2026/08/03 10:24:47.477, [N/A], [N/A], 203 MiB, 81920 MiB, 112.03 W
2026/08/03 10:24:47.482, 0 %, 0 %, 0 MiB, 81920 MiB, 59.25 W
2026/08/03 10:25:17.490, [N/A], [N/A], 237 MiB, 81920 MiB, 111.09 W
2026/08/03 10:25:17.526, [N/A], [N/A], 237 MiB, 81920 MiB, 113.46 W
2026/08/03 10:25:17.530, [N/A], [N/A], 203 MiB, 81920 MiB, 116.09 W
2026/08/03 10:25:17.533, [N/A], [N/A], 203 MiB, 81920 MiB, 102.51 W
2026/08/03 10:25:17.535, [N/A], [N/A], 203 MiB, 81920 MiB, 111.74 W
2026/08/03 10:25:17.538, 0 %, 0 %, 4 MiB, 81920 MiB, 59.25 W
2026/08/03 10:25:47.539, [N/A], [N/A], 237 MiB, 81920 MiB, 109.70 W
2026/08/03 10:25:47.573, [N/A], [N/A], 237 MiB, 81920 MiB, 111.82 W
2026/08/03 10:25:47.590, [N/A], [N/A], 203 MiB, 81920 MiB, 114.14 W
2026/08/03 10:25:47.593, [N/A], [N/A], 203 MiB, 81920 MiB, 101.63 W
2026/08/03 10:25:47.597, [N/A], [N/A], 203 MiB, 81920 MiB, 110.26 W
2026/08/03 10:25:47.600, 0 %, 0 %, 4 MiB, 81920 MiB, 58.96 W
2026/08/03 10:26:17.601, [N/A], [N/A], 237 MiB, 81920 MiB, 109.90 W
2026/08/03 10:26:17.635, [N/A], [N/A], 237 MiB, 81920 MiB, 112.03 W
2026/08/03 10:26:17.658, [N/A], [N/A], 203 MiB, 81920 MiB, 114.43 W
2026/08/03 10:26:17.660, [N/A], [N/A], 203 MiB, 81920 MiB, 101.83 W
2026/08/03 10:26:17.663, [N/A], [N/A], 203 MiB, 81920 MiB, 110.46 W
2026/08/03 10:26:17.666, 0 %, 0 %, 4 MiB, 81920 MiB, 58.68 W
2026/08/03 10:26:47.667, [N/A], [N/A], 237 MiB, 81920 MiB, 109.90 W
2026/08/03 10:26:47.701, [N/A], [N/A], 237 MiB, 81920 MiB, 112.13 W
2026/08/03 10:26:47.704, [N/A], [N/A], 203 MiB, 81920 MiB, 114.63 W
2026/08/03 10:26:47.733, [N/A], [N/A], 203 MiB, 81920 MiB, 101.83 W
2026/08/03 10:26:47.735, [N/A], [N/A], 203 MiB, 81920 MiB, 110.55 W
2026/08/03 10:26:47.737, 0 %, 0 %, 4 MiB, 81920 MiB, 59.06 W
2026/08/03 10:27:17.738, [N/A], [N/A], 237 MiB, 81920 MiB, 110.09 W
2026/08/03 10:27:17.772, [N/A], [N/A], 237 MiB, 81920 MiB, 112.19 W
2026/08/03 10:27:17.804, [N/A], [N/A], 203 MiB, 81920 MiB, 114.63 W
2026/08/03 10:27:17.806, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 10:27:17.811, [N/A], [N/A], 203 MiB, 81920 MiB, 110.75 W
2026/08/03 10:27:17.813, 0 %, 0 %, 4 MiB, 81920 MiB, 58.76 W
2026/08/03 10:27:47.814, [N/A], [N/A], 237 MiB, 81920 MiB, 110.00 W
2026/08/03 10:27:47.848, [N/A], [N/A], 237 MiB, 81920 MiB, 112.42 W
2026/08/03 10:27:47.866, [N/A], [N/A], 203 MiB, 81920 MiB, 114.74 W
2026/08/03 10:27:47.868, [N/A], [N/A], 203 MiB, 81920 MiB, 102.02 W
2026/08/03 10:27:47.870, [N/A], [N/A], 203 MiB, 81920 MiB, 110.84 W
2026/08/03 10:27:47.872, 0 %, 0 %, 4 MiB, 81920 MiB, 59.17 W
2026/08/03 10:28:17.873, [N/A], [N/A], 237 MiB, 81920 MiB, 110.40 W
2026/08/03 10:28:17.907, [N/A], [N/A], 237 MiB, 81920 MiB, 112.71 W
2026/08/03 10:28:17.940, [N/A], [N/A], 203 MiB, 81920 MiB, 115.13 W
2026/08/03 10:28:17.943, [N/A], [N/A], 203 MiB, 81920 MiB, 102.23 W
2026/08/03 10:28:17.945, [N/A], [N/A], 203 MiB, 81920 MiB, 111.15 W
2026/08/03 10:28:17.947, 0 %, 0 %, 4 MiB, 81920 MiB, 59.25 W
2026/08/03 10:28:47.948, [N/A], [N/A], 237 MiB, 81920 MiB, 110.49 W
2026/08/03 10:28:47.982, [N/A], [N/A], 237 MiB, 81920 MiB, 112.88 W
2026/08/03 10:28:47.996, [N/A], [N/A], 203 MiB, 81920 MiB, 115.42 W
2026/08/03 10:28:47.998, [N/A], [N/A], 203 MiB, 81920 MiB, 102.32 W
2026/08/03 10:28:48.000, [N/A], [N/A], 203 MiB, 81920 MiB, 111.34 W
2026/08/03 10:28:48.002, 0 %, 0 %, 4 MiB, 81920 MiB, 59.25 W
2026/08/03 10:29:18.003, [N/A], [N/A], 237 MiB, 81920 MiB, 109.90 W
2026/08/03 10:29:18.037, [N/A], [N/A], 237 MiB, 81920 MiB, 112.13 W
2026/08/03 10:29:18.060, [N/A], [N/A], 203 MiB, 81920 MiB, 114.53 W
2026/08/03 10:29:18.062, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
