timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 10:52:26.740, 85 %, 62 %, 15821 MiB, 81920 MiB, 305.13 W
2026/08/03 10:52:56.741, [N/A], [N/A], 237 MiB, 81920 MiB, 95.10 W
2026/08/03 10:52:56.775, [N/A], [N/A], 237 MiB, 81920 MiB, 93.74 W
2026/08/03 10:52:56.793, [N/A], [N/A], 203 MiB, 81920 MiB, 90.47 W
2026/08/03 10:52:56.795, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 10:52:56.797, [N/A], [N/A], 203 MiB, 81920 MiB, 92.07 W
2026/08/03 10:52:56.799, 95 %, 87 %, 15821 MiB, 81920 MiB, 304.23 W
2026/08/03 10:53:26.800, [N/A], [N/A], 237 MiB, 81920 MiB, 95.09 W
2026/08/03 10:53:26.834, [N/A], [N/A], 237 MiB, 81920 MiB, 93.51 W
2026/08/03 10:53:26.852, [N/A], [N/A], 203 MiB, 81920 MiB, 90.48 W
2026/08/03 10:53:26.854, [N/A], [N/A], 203 MiB, 81920 MiB, 92.50 W
2026/08/03 10:53:26.856, [N/A], [N/A], 203 MiB, 81920 MiB, 92.41 W
2026/08/03 10:53:26.858, 92 %, 80 %, 15821 MiB, 81920 MiB, 299.51 W
2026/08/03 10:53:56.859, [N/A], [N/A], 237 MiB, 81920 MiB, 95.00 W
2026/08/03 10:53:56.893, [N/A], [N/A], 237 MiB, 81920 MiB, 93.54 W
2026/08/03 10:53:56.911, [N/A], [N/A], 203 MiB, 81920 MiB, 90.61 W
2026/08/03 10:53:56.913, [N/A], [N/A], 203 MiB, 81920 MiB, 92.61 W
2026/08/03 10:53:56.915, [N/A], [N/A], 203 MiB, 81920 MiB, 92.15 W
2026/08/03 10:53:56.917, 95 %, 87 %, 15821 MiB, 81920 MiB, 296.25 W
2026/08/03 10:54:26.918, [N/A], [N/A], 237 MiB, 81920 MiB, 95.06 W
2026/08/03 10:54:26.951, [N/A], [N/A], 237 MiB, 81920 MiB, 93.40 W
2026/08/03 10:54:26.954, [N/A], [N/A], 203 MiB, 81920 MiB, 90.43 W
2026/08/03 10:54:26.973, [N/A], [N/A], 203 MiB, 81920 MiB, 92.54 W
2026/08/03 10:54:26.975, [N/A], [N/A], 203 MiB, 81920 MiB, 91.93 W
2026/08/03 10:54:26.977, 100 %, 94 %, 15821 MiB, 81920 MiB, 303.37 W
2026/08/03 10:54:56.978, [N/A], [N/A], 237 MiB, 81920 MiB, 95.96 W
2026/08/03 10:54:57.011, [N/A], [N/A], 237 MiB, 81920 MiB, 93.38 W
2026/08/03 10:54:57.013, [N/A], [N/A], 203 MiB, 81920 MiB, 90.47 W
2026/08/03 10:54:57.032, [N/A], [N/A], 203 MiB, 81920 MiB, 92.50 W
2026/08/03 10:54:57.034, [N/A], [N/A], 203 MiB, 81920 MiB, 92.09 W
2026/08/03 10:54:57.036, 95 %, 87 %, 15821 MiB, 81920 MiB, 287.98 W
2026/08/03 10:55:27.037, [N/A], [N/A], 237 MiB, 81920 MiB, 94.87 W
2026/08/03 10:55:27.071, [N/A], [N/A], 237 MiB, 81920 MiB, 93.16 W
2026/08/03 10:55:27.088, [N/A], [N/A], 203 MiB, 81920 MiB, 90.41 W
2026/08/03 10:55:27.090, [N/A], [N/A], 203 MiB, 81920 MiB, 92.58 W
2026/08/03 10:55:27.092, [N/A], [N/A], 203 MiB, 81920 MiB, 91.97 W
2026/08/03 10:55:27.094, 94 %, 84 %, 15821 MiB, 81920 MiB, 275.62 W
2026/08/03 10:55:57.095, [N/A], [N/A], 237 MiB, 81920 MiB, 96.14 W
2026/08/03 10:55:57.128, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 10:55:57.156, [N/A], [N/A], 203 MiB, 81920 MiB, 90.67 W
2026/08/03 10:55:57.158, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 10:55:57.160, [N/A], [N/A], 203 MiB, 81920 MiB, 91.71 W
2026/08/03 10:55:57.162, 89 %, 75 %, 15821 MiB, 81920 MiB, 299.18 W
2026/08/03 10:56:27.163, [N/A], [N/A], 237 MiB, 81920 MiB, 95.00 W
2026/08/03 10:56:27.196, [N/A], [N/A], 237 MiB, 81920 MiB, 93.77 W
2026/08/03 10:56:27.210, [N/A], [N/A], 203 MiB, 81920 MiB, 90.47 W
2026/08/03 10:56:27.212, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
2026/08/03 10:56:27.214, [N/A], [N/A], 203 MiB, 81920 MiB, 92.17 W
2026/08/03 10:56:27.216, 94 %, 84 %, 15821 MiB, 81920 MiB, 298.01 W
2026/08/03 10:56:57.217, [N/A], [N/A], 237 MiB, 81920 MiB, 95.10 W
2026/08/03 10:56:57.251, [N/A], [N/A], 237 MiB, 81920 MiB, 93.77 W
2026/08/03 10:56:57.268, [N/A], [N/A], 203 MiB, 81920 MiB, 90.47 W
2026/08/03 10:56:57.270, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 10:56:57.272, [N/A], [N/A], 203 MiB, 81920 MiB, 91.87 W
2026/08/03 10:56:57.274, 91 %, 73 %, 15821 MiB, 81920 MiB, 294.89 W
2026/08/03 10:57:27.275, [N/A], [N/A], 237 MiB, 81920 MiB, 95.19 W
2026/08/03 10:57:27.309, [N/A], [N/A], 237 MiB, 81920 MiB, 93.77 W
2026/08/03 10:57:27.325, [N/A], [N/A], 203 MiB, 81920 MiB, 90.57 W
2026/08/03 10:57:27.327, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
2026/08/03 10:57:27.329, [N/A], [N/A], 203 MiB, 81920 MiB, 92.07 W
2026/08/03 10:57:27.332, 89 %, 76 %, 15821 MiB, 81920 MiB, 307.45 W
2026/08/03 10:57:57.332, [N/A], [N/A], 237 MiB, 81920 MiB, 95.00 W
2026/08/03 10:57:57.367, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 10:57:57.398, [N/A], [N/A], 203 MiB, 81920 MiB, 90.48 W
2026/08/03 10:57:57.400, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
2026/08/03 10:57:57.402, [N/A], [N/A], 203 MiB, 81920 MiB, 91.78 W
2026/08/03 10:57:57.404, 94 %, 84 %, 15821 MiB, 81920 MiB, 295.96 W
2026/08/03 10:58:27.405, [N/A], [N/A], 237 MiB, 81920 MiB, 95.31 W
2026/08/03 10:58:27.407, [N/A], [N/A], 237 MiB, 81920 MiB, 93.82 W
2026/08/03 10:58:27.409, [N/A], [N/A], 203 MiB, 81920 MiB, 90.71 W
2026/08/03 10:58:27.412, [N/A], [N/A], 203 MiB, 81920 MiB, 92.71 W
2026/08/03 10:58:27.414, [N/A], [N/A], 203 MiB, 81920 MiB, 92.00 W
2026/08/03 10:58:27.416, 91 %, 70 %, 15821 MiB, 81920 MiB, 282.17 W
2026/08/03 10:58:57.417, [N/A], [N/A], 237 MiB, 81920 MiB, 94.90 W
2026/08/03 10:58:57.419, [N/A], [N/A], 237 MiB, 81920 MiB, 93.57 W
2026/08/03 10:58:57.421, [N/A], [N/A], 203 MiB, 81920 MiB, 90.57 W
2026/08/03 10:58:57.423, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 10:58:57.425, [N/A], [N/A], 203 MiB, 81920 MiB, 92.00 W
2026/08/03 10:58:57.428, 94 %, 84 %, 15821 MiB, 81920 MiB, 303.07 W
2026/08/03 10:59:27.428, [N/A], [N/A], 237 MiB, 81920 MiB, 95.00 W
2026/08/03 10:59:27.432, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 10:59:27.434, [N/A], [N/A], 203 MiB, 81920 MiB, 90.56 W
2026/08/03 10:59:27.436, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
2026/08/03 10:59:27.438, [N/A], [N/A], 203 MiB, 81920 MiB, 92.10 W
2026/08/03 10:59:27.440, 89 %, 76 %, 15821 MiB, 81920 MiB, 297.73 W
2026/08/03 10:59:57.441, [N/A], [N/A], 237 MiB, 81920 MiB, 94.97 W
2026/08/03 10:59:57.475, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 10:59:57.489, [N/A], [N/A], 203 MiB, 81920 MiB, 90.53 W
2026/08/03 10:59:57.491, [N/A], [N/A], 203 MiB, 81920 MiB, 92.54 W
2026/08/03 10:59:57.493, [N/A], [N/A], 203 MiB, 81920 MiB, 91.85 W
2026/08/03 10:59:57.495, 94 %, 84 %, 15821 MiB, 81920 MiB, 296.15 W
2026/08/03 11:00:27.496, [N/A], [N/A], 237 MiB, 81920 MiB, 95.00 W
2026/08/03 11:00:27.530, [N/A], [N/A], 237 MiB, 81920 MiB, 93.72 W
2026/08/03 11:00:27.564, [N/A], [N/A], 203 MiB, 81920 MiB, 90.60 W
2026/08/03 11:00:27.570, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 11:00:27.573, [N/A], [N/A], 203 MiB, 81920 MiB, 92.17 W
2026/08/03 11:00:27.575, 89 %, 77 %, 15821 MiB, 81920 MiB, 237.08 W
2026/08/03 11:00:57.576, [N/A], [N/A], 237 MiB, 81920 MiB, 94.97 W
2026/08/03 11:00:57.610, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 11:00:57.639, [N/A], [N/A], 203 MiB, 81920 MiB, 90.51 W
2026/08/03 11:00:57.641, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
2026/08/03 11:00:57.644, [N/A], [N/A], 203 MiB, 81920 MiB, 91.97 W
2026/08/03 11:00:57.647, 81 %, 64 %, 15821 MiB, 81920 MiB, 306.38 W
2026/08/03 11:01:27.648, [N/A], [N/A], 237 MiB, 81920 MiB, 95.19 W
2026/08/03 11:01:27.681, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 11:01:27.707, [N/A], [N/A], 203 MiB, 81920 MiB, 90.49 W
2026/08/03 11:01:27.710, [N/A], [N/A], 203 MiB, 81920 MiB, 92.77 W
2026/08/03 11:01:27.712, [N/A], [N/A], 203 MiB, 81920 MiB, 92.48 W
2026/08/03 11:01:27.715, 94 %, 84 %, 15821 MiB, 81920 MiB, 292.44 W
2026/08/03 11:01:57.716, [N/A], [N/A], 237 MiB, 81920 MiB, 95.09 W
2026/08/03 11:01:57.749, [N/A], [N/A], 237 MiB, 81920 MiB, 93.77 W
2026/08/03 11:01:57.766, [N/A], [N/A], 203 MiB, 81920 MiB, 90.60 W
2026/08/03 11:01:57.768, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
2026/08/03 11:01:57.771, [N/A], [N/A], 203 MiB, 81920 MiB, 91.97 W
2026/08/03 11:01:57.774, 100 %, 96 %, 15821 MiB, 81920 MiB, 307.45 W
2026/08/03 11:02:27.775, [N/A], [N/A], 237 MiB, 81920 MiB, 95.16 W
2026/08/03 11:02:27.777, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 11:02:27.779, [N/A], [N/A], 203 MiB, 81920 MiB, 90.57 W
2026/08/03 11:02:27.781, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 11:02:27.783, [N/A], [N/A], 203 MiB, 81920 MiB, 92.00 W
2026/08/03 11:02:27.786, 94 %, 84 %, 15821 MiB, 81920 MiB, 306.19 W
2026/08/03 11:02:57.786, [N/A], [N/A], 237 MiB, 81920 MiB, 95.07 W
2026/08/03 11:02:57.789, [N/A], [N/A], 237 MiB, 81920 MiB, 93.57 W
2026/08/03 11:02:57.791, [N/A], [N/A], 203 MiB, 81920 MiB, 90.80 W
2026/08/03 11:02:57.793, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 11:02:57.799, [N/A], [N/A], 203 MiB, 81920 MiB, 92.22 W
2026/08/03 11:02:57.801, 89 %, 76 %, 15821 MiB, 81920 MiB, 300.73 W
2026/08/03 11:03:27.801, [N/A], [N/A], 237 MiB, 81920 MiB, 96.08 W
2026/08/03 11:03:27.806, [N/A], [N/A], 237 MiB, 81920 MiB, 93.77 W
2026/08/03 11:03:27.808, [N/A], [N/A], 203 MiB, 81920 MiB, 90.56 W
2026/08/03 11:03:27.810, [N/A], [N/A], 203 MiB, 81920 MiB, 92.58 W
2026/08/03 11:03:27.812, [N/A], [N/A], 203 MiB, 81920 MiB, 92.10 W
