timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 07:46:36.388, [N/A], [N/A], 237 MiB, 81920 MiB, 111.48 W
2026/08/03 07:46:36.395, [N/A], [N/A], 237 MiB, 81920 MiB, 113.96 W
2026/08/03 07:46:36.399, [N/A], [N/A], 203 MiB, 81920 MiB, 117.85 W
2026/08/03 07:46:36.403, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 07:46:36.406, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 07:46:36.410, 0 %, 0 %, 0 MiB, 81920 MiB, 58.27 W
2026/08/03 07:47:06.413, [N/A], [N/A], 237 MiB, 81920 MiB, 110.90 W
2026/08/03 07:47:06.449, [N/A], [N/A], 237 MiB, 81920 MiB, 114.75 W
2026/08/03 07:47:06.460, [N/A], [N/A], 203 MiB, 81920 MiB, 117.36 W
2026/08/03 07:47:06.462, [N/A], [N/A], 203 MiB, 81920 MiB, 102.62 W
2026/08/03 07:47:06.465, [N/A], [N/A], 203 MiB, 81920 MiB, 111.34 W
2026/08/03 07:47:06.467, 0 %, 0 %, 4 MiB, 81920 MiB, 57.77 W
2026/08/03 07:47:36.467, [N/A], [N/A], 237 MiB, 81920 MiB, 111.09 W
2026/08/03 07:47:36.501, [N/A], [N/A], 237 MiB, 81920 MiB, 113.66 W
2026/08/03 07:47:36.520, [N/A], [N/A], 203 MiB, 81920 MiB, 116.09 W
2026/08/03 07:47:36.522, [N/A], [N/A], 203 MiB, 81920 MiB, 102.71 W
2026/08/03 07:47:36.524, [N/A], [N/A], 203 MiB, 81920 MiB, 111.44 W
2026/08/03 07:47:36.526, 0 %, 0 %, 4 MiB, 81920 MiB, 57.87 W
2026/08/03 07:48:06.527, [N/A], [N/A], 237 MiB, 81920 MiB, 111.09 W
2026/08/03 07:48:06.561, [N/A], [N/A], 237 MiB, 81920 MiB, 113.77 W
2026/08/03 07:48:06.578, [N/A], [N/A], 203 MiB, 81920 MiB, 117.75 W
2026/08/03 07:48:06.580, [N/A], [N/A], 203 MiB, 81920 MiB, 102.81 W
2026/08/03 07:48:06.585, [N/A], [N/A], 203 MiB, 81920 MiB, 111.55 W
2026/08/03 07:48:06.589, 0 %, 0 %, 4 MiB, 81920 MiB, 57.87 W
2026/08/03 07:48:36.589, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 07:48:36.623, [N/A], [N/A], 237 MiB, 81920 MiB, 115.35 W
2026/08/03 07:48:36.638, [N/A], [N/A], 203 MiB, 81920 MiB, 116.48 W
2026/08/03 07:48:36.640, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 07:48:36.642, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 07:48:36.644, 0 %, 0 %, 4 MiB, 81920 MiB, 58.27 W
2026/08/03 07:49:06.645, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 07:49:06.682, [N/A], [N/A], 237 MiB, 81920 MiB, 114.15 W
2026/08/03 07:49:06.700, [N/A], [N/A], 203 MiB, 81920 MiB, 116.57 W
2026/08/03 07:49:06.702, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 07:49:06.704, [N/A], [N/A], 203 MiB, 81920 MiB, 112.03 W
2026/08/03 07:49:06.706, 0 %, 0 %, 4 MiB, 81920 MiB, 58.37 W
2026/08/03 07:49:36.707, [N/A], [N/A], 237 MiB, 81920 MiB, 111.29 W
2026/08/03 07:49:36.741, [N/A], [N/A], 237 MiB, 81920 MiB, 114.06 W
2026/08/03 07:49:36.754, [N/A], [N/A], 203 MiB, 81920 MiB, 116.48 W
2026/08/03 07:49:36.756, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 07:49:36.758, [N/A], [N/A], 203 MiB, 81920 MiB, 111.94 W
2026/08/03 07:49:36.760, 0 %, 0 %, 4 MiB, 81920 MiB, 58.37 W
2026/08/03 07:50:06.761, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 07:50:06.795, [N/A], [N/A], 237 MiB, 81920 MiB, 114.06 W
2026/08/03 07:50:06.810, [N/A], [N/A], 203 MiB, 81920 MiB, 118.04 W
2026/08/03 07:50:06.812, [N/A], [N/A], 203 MiB, 81920 MiB, 103.10 W
2026/08/03 07:50:06.814, [N/A], [N/A], 203 MiB, 81920 MiB, 111.94 W
2026/08/03 07:50:06.816, 0 %, 0 %, 4 MiB, 81920 MiB, 58.37 W
2026/08/03 07:50:36.817, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 07:50:36.851, [N/A], [N/A], 237 MiB, 81920 MiB, 113.96 W
2026/08/03 07:50:36.868, [N/A], [N/A], 203 MiB, 81920 MiB, 116.57 W
2026/08/03 07:50:36.870, [N/A], [N/A], 203 MiB, 81920 MiB, 102.91 W
2026/08/03 07:50:36.887, [N/A], [N/A], 203 MiB, 81920 MiB, 111.74 W
2026/08/03 07:50:36.889, 0 %, 0 %, 4 MiB, 81920 MiB, 58.27 W
2026/08/03 07:51:06.890, [N/A], [N/A], 237 MiB, 81920 MiB, 110.49 W
2026/08/03 07:51:06.925, [N/A], [N/A], 237 MiB, 81920 MiB, 112.82 W
2026/08/03 07:51:06.944, [N/A], [N/A], 203 MiB, 81920 MiB, 115.22 W
2026/08/03 07:51:06.946, [N/A], [N/A], 203 MiB, 81920 MiB, 102.23 W
2026/08/03 07:51:06.948, [N/A], [N/A], 203 MiB, 81920 MiB, 110.65 W
2026/08/03 07:51:06.951, 0 %, 0 %, 4 MiB, 81920 MiB, 58.17 W
2026/08/03 07:51:36.951, [N/A], [N/A], 237 MiB, 81920 MiB, 109.22 W
2026/08/03 07:51:36.954, [N/A], [N/A], 237 MiB, 81920 MiB, 111.72 W
2026/08/03 07:51:36.956, [N/A], [N/A], 203 MiB, 81920 MiB, 114.05 W
2026/08/03 07:51:36.959, [N/A], [N/A], 203 MiB, 81920 MiB, 101.63 W
2026/08/03 07:51:36.961, [N/A], [N/A], 203 MiB, 81920 MiB, 109.57 W
2026/08/03 07:51:36.963, 0 %, 0 %, 4 MiB, 81920 MiB, 57.87 W
