timestamp, index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 20:04:00.655, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 109.51 W
2026/08/03 20:04:00.666, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 111.83 W
2026/08/03 20:04:00.670, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.05 W
2026/08/03 20:04:00.673, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.73 W
2026/08/03 20:04:00.677, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.36 W
2026/08/03 20:04:00.681, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 0 MiB, 81920 MiB, 47.47 W
2026/08/03 20:04:30.684, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 109.70 W
2026/08/03 20:04:30.692, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.09 W
2026/08/03 20:04:30.694, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.24 W
2026/08/03 20:04:30.696, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.73 W
2026/08/03 20:04:30.699, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.75 W
2026/08/03 20:04:30.701, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 4 MiB, 81920 MiB, 47.48 W
2026/08/03 20:05:00.701, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 109.80 W
2026/08/03 20:05:00.704, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.09 W
2026/08/03 20:05:00.739, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.88 W
2026/08/03 20:05:00.754, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 20:05:00.756, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.86 W
2026/08/03 20:05:00.758, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 4 MiB, 81920 MiB, 47.58 W
2026/08/03 20:05:30.759, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 109.90 W
2026/08/03 20:05:30.761, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.28 W
2026/08/03 20:05:30.795, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 116.09 W
2026/08/03 20:05:30.808, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 20:05:30.810, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.05 W
2026/08/03 20:05:30.812, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 4 MiB, 81920 MiB, 47.48 W
