timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 10:24:41.119, [N/A], [N/A], 237 MiB, 81920 MiB, 111.29 W
2026/08/03 10:24:41.124, [N/A], [N/A], 237 MiB, 81920 MiB, 113.56 W
2026/08/03 10:24:41.128, [N/A], [N/A], 203 MiB, 81920 MiB, 116.38 W
2026/08/03 10:24:41.131, [N/A], [N/A], 203 MiB, 81920 MiB, 102.71 W
2026/08/03 10:24:41.135, [N/A], [N/A], 203 MiB, 81920 MiB, 112.03 W
2026/08/03 10:24:41.138, 0 %, 0 %, 0 MiB, 81920 MiB, 47.27 W
2026/08/03 10:25:11.141, [N/A], [N/A], 237 MiB, 81920 MiB, 111.19 W
2026/08/03 10:25:11.159, [N/A], [N/A], 237 MiB, 81920 MiB, 113.56 W
2026/08/03 10:25:11.177, [N/A], [N/A], 203 MiB, 81920 MiB, 116.19 W
2026/08/03 10:25:11.194, [N/A], [N/A], 203 MiB, 81920 MiB, 102.61 W
2026/08/03 10:25:11.196, [N/A], [N/A], 203 MiB, 81920 MiB, 111.94 W
2026/08/03 10:25:11.198, 0 %, 0 %, 4 MiB, 81920 MiB, 47.77 W
2026/08/03 10:25:41.199, [N/A], [N/A], 237 MiB, 81920 MiB, 109.61 W
2026/08/03 10:25:41.233, [N/A], [N/A], 237 MiB, 81920 MiB, 111.72 W
2026/08/03 10:25:41.258, [N/A], [N/A], 203 MiB, 81920 MiB, 114.14 W
2026/08/03 10:25:41.260, [N/A], [N/A], 203 MiB, 81920 MiB, 101.54 W
2026/08/03 10:25:41.262, [N/A], [N/A], 203 MiB, 81920 MiB, 110.15 W
2026/08/03 10:25:41.264, 0 %, 0 %, 4 MiB, 81920 MiB, 47.37 W
2026/08/03 10:26:11.265, [N/A], [N/A], 237 MiB, 81920 MiB, 109.80 W
2026/08/03 10:26:11.299, [N/A], [N/A], 237 MiB, 81920 MiB, 111.93 W
2026/08/03 10:26:11.332, [N/A], [N/A], 203 MiB, 81920 MiB, 114.43 W
2026/08/03 10:26:11.334, [N/A], [N/A], 203 MiB, 81920 MiB, 101.73 W
2026/08/03 10:26:11.357, [N/A], [N/A], 203 MiB, 81920 MiB, 110.36 W
2026/08/03 10:26:11.360, 0 %, 0 %, 4 MiB, 81920 MiB, 47.48 W
2026/08/03 10:26:41.361, [N/A], [N/A], 237 MiB, 81920 MiB, 109.80 W
2026/08/03 10:26:41.395, [N/A], [N/A], 237 MiB, 81920 MiB, 112.13 W
2026/08/03 10:26:41.397, [N/A], [N/A], 203 MiB, 81920 MiB, 114.53 W
2026/08/03 10:26:41.400, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 10:26:41.406, [N/A], [N/A], 203 MiB, 81920 MiB, 110.45 W
2026/08/03 10:26:41.408, 0 %, 0 %, 4 MiB, 81920 MiB, 47.48 W
2026/08/03 10:27:11.409, [N/A], [N/A], 237 MiB, 81920 MiB, 110.20 W
2026/08/03 10:27:11.443, [N/A], [N/A], 237 MiB, 81920 MiB, 112.42 W
2026/08/03 10:27:11.465, [N/A], [N/A], 203 MiB, 81920 MiB, 114.73 W
2026/08/03 10:27:11.467, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
