timestamp, index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 21:53:40.418, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.69 W
2026/08/03 21:53:40.425, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 113.11 W
2026/08/03 21:53:40.433, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.88 W
2026/08/03 21:53:40.437, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.51 W
2026/08/03 21:53:40.441, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.94 W
2026/08/03 21:53:40.445, 5, GPU-0b53b8fd-5fd2-c754-9034-cad22002da1e, 0 %, 0 %, 0 MiB, 81920 MiB, 59.25 W
2026/08/03 21:54:10.448, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.59 W
2026/08/03 21:54:10.466, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.88 W
2026/08/03 21:54:10.468, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.68 W
2026/08/03 21:54:10.479, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.32 W
2026/08/03 21:54:10.481, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.74 W
2026/08/03 21:54:10.483, 5, GPU-0b53b8fd-5fd2-c754-9034-cad22002da1e, 0 %, 0 %, 4 MiB, 81920 MiB, 59.15 W
2026/08/03 21:54:40.484, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.00 W
2026/08/03 21:54:40.518, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.28 W
2026/08/03 21:54:40.537, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.80 W
2026/08/03 21:54:40.541, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 21:54:40.544, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.98 W
