timestamp, index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 20:03:16.182, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.19 W
2026/08/03 20:03:16.186, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.61 W
2026/08/03 20:03:16.191, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.09 W
2026/08/03 20:03:16.197, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.11 W
2026/08/03 20:03:16.208, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.15 W
2026/08/03 20:03:16.215, 5, GPU-0b53b8fd-5fd2-c754-9034-cad22002da1e, 0 %, 0 %, 0 MiB, 81920 MiB, 58.57 W
2026/08/03 20:03:46.227, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.09 W
2026/08/03 20:03:46.246, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.22 W
2026/08/03 20:03:46.248, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.63 W
2026/08/03 20:03:46.250, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.02 W
2026/08/03 20:03:46.252, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.15 W
2026/08/03 20:03:46.271, 5, GPU-0b53b8fd-5fd2-c754-9034-cad22002da1e, 0 %, 0 %, 4 MiB, 81920 MiB, 59.06 W
2026/08/03 20:04:16.272, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 109.51 W
2026/08/03 20:04:16.275, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 111.82 W
2026/08/03 20:04:16.289, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.01 W
2026/08/03 20:04:16.293, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.72 W
2026/08/03 20:04:16.297, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.36 W
2026/08/03 20:04:16.302, 5, GPU-0b53b8fd-5fd2-c754-9034-cad22002da1e, 0 %, 0 %, 4 MiB, 81920 MiB, 58.57 W
2026/08/03 20:04:46.304, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 109.90 W
2026/08/03 20:04:46.338, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.03 W
2026/08/03 20:04:46.356, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.43 W
2026/08/03 20:04:46.360, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 20:04:46.364, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.15 W
2026/08/03 20:04:46.368, 5, GPU-0b53b8fd-5fd2-c754-9034-cad22002da1e, 0 %, 0 %, 4 MiB, 81920 MiB, 58.67 W
2026/08/03 20:05:16.369, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.00 W
2026/08/03 20:05:16.408, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.32 W
2026/08/03 20:05:16.411, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.74 W
2026/08/03 20:05:16.414, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 20:05:16.416, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.95 W
2026/08/03 20:05:16.418, 5, GPU-0b53b8fd-5fd2-c754-9034-cad22002da1e, 0 %, 0 %, 4 MiB, 81920 MiB, 58.57 W
