timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 07:46:30.380, [N/A], [N/A], 237 MiB, 81920 MiB, 111.59 W
2026/08/03 07:46:30.387, [N/A], [N/A], 237 MiB, 81920 MiB, 114.15 W
2026/08/03 07:46:30.390, [N/A], [N/A], 203 MiB, 81920 MiB, 116.57 W
2026/08/03 07:46:30.394, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 07:46:30.397, [N/A], [N/A], 203 MiB, 81920 MiB, 112.03 W
2026/08/03 07:46:30.401, 0 %, 0 %, 0 MiB, 81920 MiB, 59.15 W
2026/08/03 07:47:00.404, [N/A], [N/A], 237 MiB, 81920 MiB, 111.19 W
2026/08/03 07:47:00.438, [N/A], [N/A], 237 MiB, 81920 MiB, 115.04 W
2026/08/03 07:47:00.471, [N/A], [N/A], 203 MiB, 81920 MiB, 116.22 W
2026/08/03 07:47:00.489, [N/A], [N/A], 203 MiB, 81920 MiB, 102.71 W
2026/08/03 07:47:00.506, [N/A], [N/A], 203 MiB, 81920 MiB, 111.55 W
2026/08/03 07:47:00.514, 0 %, 0 %, 4 MiB, 81920 MiB, 59.15 W
2026/08/03 07:47:30.515, [N/A], [N/A], 237 MiB, 81920 MiB, 110.90 W
2026/08/03 07:47:30.549, [N/A], [N/A], 237 MiB, 81920 MiB, 113.56 W
2026/08/03 07:47:30.574, [N/A], [N/A], 203 MiB, 81920 MiB, 117.56 W
2026/08/03 07:47:30.576, [N/A], [N/A], 203 MiB, 81920 MiB, 102.62 W
2026/08/03 07:47:30.578, [N/A], [N/A], 203 MiB, 81920 MiB, 111.55 W
2026/08/03 07:47:30.580, 0 %, 0 %, 4 MiB, 81920 MiB, 59.45 W
2026/08/03 07:48:00.581, [N/A], [N/A], 237 MiB, 81920 MiB, 111.19 W
2026/08/03 07:48:00.615, [N/A], [N/A], 237 MiB, 81920 MiB, 113.75 W
2026/08/03 07:48:00.637, [N/A], [N/A], 203 MiB, 81920 MiB, 117.65 W
2026/08/03 07:48:00.639, [N/A], [N/A], 203 MiB, 81920 MiB, 102.81 W
2026/08/03 07:48:00.641, [N/A], [N/A], 203 MiB, 81920 MiB, 111.45 W
2026/08/03 07:48:00.643, 0 %, 0 %, 4 MiB, 81920 MiB, 59.45 W
2026/08/03 07:48:30.644, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 07:48:30.678, [N/A], [N/A], 237 MiB, 81920 MiB, 115.35 W
2026/08/03 07:48:30.693, [N/A], [N/A], 203 MiB, 81920 MiB, 117.95 W
2026/08/03 07:48:30.695, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 07:48:30.697, [N/A], [N/A], 203 MiB, 81920 MiB, 111.94 W
2026/08/03 07:48:30.699, 0 %, 0 %, 4 MiB, 81920 MiB, 59.54 W
2026/08/03 07:49:00.700, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 07:49:00.734, [N/A], [N/A], 237 MiB, 81920 MiB, 114.19 W
2026/08/03 07:49:00.751, [N/A], [N/A], 203 MiB, 81920 MiB, 116.67 W
2026/08/03 07:49:00.754, [N/A], [N/A], 203 MiB, 81920 MiB, 102.91 W
2026/08/03 07:49:00.758, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 07:49:00.760, 0 %, 0 %, 4 MiB, 81920 MiB, 59.54 W
2026/08/03 07:49:30.761, [N/A], [N/A], 237 MiB, 81920 MiB, 111.29 W
2026/08/03 07:49:30.795, [N/A], [N/A], 237 MiB, 81920 MiB, 114.06 W
2026/08/03 07:49:30.810, [N/A], [N/A], 203 MiB, 81920 MiB, 116.38 W
2026/08/03 07:49:30.812, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 07:49:30.814, [N/A], [N/A], 203 MiB, 81920 MiB, 111.74 W
2026/08/03 07:49:30.816, 0 %, 0 %, 4 MiB, 81920 MiB, 59.15 W
2026/08/03 07:50:00.817, [N/A], [N/A], 237 MiB, 81920 MiB, 111.48 W
2026/08/03 07:50:00.851, [N/A], [N/A], 237 MiB, 81920 MiB, 114.25 W
2026/08/03 07:50:00.876, [N/A], [N/A], 203 MiB, 81920 MiB, 116.71 W
2026/08/03 07:50:00.878, [N/A], [N/A], 203 MiB, 81920 MiB, 103.19 W
2026/08/03 07:50:00.880, [N/A], [N/A], 203 MiB, 81920 MiB, 112.03 W
2026/08/03 07:50:00.882, 0 %, 0 %, 4 MiB, 81920 MiB, 59.56 W
2026/08/03 07:50:30.883, [N/A], [N/A], 237 MiB, 81920 MiB, 111.48 W
2026/08/03 07:50:30.917, [N/A], [N/A], 237 MiB, 81920 MiB, 114.09 W
2026/08/03 07:50:30.936, [N/A], [N/A], 203 MiB, 81920 MiB, 116.77 W
2026/08/03 07:50:30.939, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 07:50:30.941, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 07:50:30.943, 0 %, 0 %, 4 MiB, 81920 MiB, 59.15 W
2026/08/03 07:51:00.944, [N/A], [N/A], 237 MiB, 81920 MiB, 110.69 W
2026/08/03 07:51:00.978, [N/A], [N/A], 237 MiB, 81920 MiB, 113.21 W
2026/08/03 07:51:00.995, [N/A], [N/A], 203 MiB, 81920 MiB, 117.16 W
2026/08/03 07:51:00.998, [N/A], [N/A], 203 MiB, 81920 MiB, 102.51 W
2026/08/03 07:51:01.000, [N/A], [N/A], 203 MiB, 81920 MiB, 110.95 W
2026/08/03 07:51:01.003, 0 %, 0 %, 4 MiB, 81920 MiB, 58.97 W
2026/08/03 07:51:31.004, [N/A], [N/A], 237 MiB, 81920 MiB, 109.61 W
2026/08/03 07:51:31.007, [N/A], [N/A], 237 MiB, 81920 MiB, 112.03 W
2026/08/03 07:51:31.009, [N/A], [N/A], 203 MiB, 81920 MiB, 114.34 W
2026/08/03 07:51:31.011, [N/A], [N/A], 203 MiB, 81920 MiB, 101.73 W
2026/08/03 07:51:31.013, [N/A], [N/A], 203 MiB, 81920 MiB, 109.86 W
2026/08/03 07:51:31.017, 0 %, 0 %, 4 MiB, 81920 MiB, 59.15 W
2026/08/03 07:52:01.018, [N/A], [N/A], 237 MiB, 81920 MiB, 108.91 W
2026/08/03 07:52:01.065, [N/A], [N/A], 237 MiB, 81920 MiB, 111.29 W
2026/08/03 07:52:01.068, [N/A], [N/A], 203 MiB, 81920 MiB, 113.22 W
2026/08/03 07:52:01.070, [N/A], [N/A], 203 MiB, 81920 MiB, 101.24 W
2026/08/03 07:52:01.073, [N/A], [N/A], 203 MiB, 81920 MiB, 109.18 W
2026/08/03 07:52:01.075, 0 %, 0 %, 4 MiB, 81920 MiB, 58.69 W
2026/08/03 07:52:31.076, [N/A], [N/A], 237 MiB, 81920 MiB, 108.58 W
2026/08/03 07:52:31.111, [N/A], [N/A], 237 MiB, 81920 MiB, 110.71 W
2026/08/03 07:52:31.130, [N/A], [N/A], 203 MiB, 81920 MiB, 112.90 W
2026/08/03 07:52:31.132, [N/A], [N/A], 203 MiB, 81920 MiB, 101.20 W
2026/08/03 07:52:31.135, [N/A], [N/A], 203 MiB, 81920 MiB, 109.15 W
2026/08/03 07:52:31.138, 100 %, 91 %, 8817 MiB, 81920 MiB, 308.77 W
2026/08/03 07:53:01.138, [N/A], [N/A], 237 MiB, 81920 MiB, 106.71 W
2026/08/03 07:53:01.172, [N/A], [N/A], 237 MiB, 81920 MiB, 108.98 W
2026/08/03 07:53:01.187, [N/A], [N/A], 203 MiB, 81920 MiB, 110.05 W
2026/08/03 07:53:01.190, [N/A], [N/A], 203 MiB, 81920 MiB, 99.72 W
2026/08/03 07:53:01.192, [N/A], [N/A], 203 MiB, 81920 MiB, 106.78 W
2026/08/03 07:53:01.195, 100 %, 91 %, 8817 MiB, 81920 MiB, 301.61 W
2026/08/03 07:53:31.196, [N/A], [N/A], 237 MiB, 81920 MiB, 103.18 W
2026/08/03 07:53:31.229, [N/A], [N/A], 237 MiB, 81920 MiB, 103.88 W
2026/08/03 07:53:31.256, [N/A], [N/A], 203 MiB, 81920 MiB, 105.56 W
2026/08/03 07:53:31.259, [N/A], [N/A], 203 MiB, 81920 MiB, 97.01 W
2026/08/03 07:53:31.261, [N/A], [N/A], 203 MiB, 81920 MiB, 103.24 W
2026/08/03 07:53:31.264, 100 %, 90 %, 8817 MiB, 81920 MiB, 259.68 W
2026/08/03 07:54:01.265, [N/A], [N/A], 237 MiB, 81920 MiB, 98.90 W
2026/08/03 07:54:01.267, [N/A], [N/A], 237 MiB, 81920 MiB, 100.65 W
2026/08/03 07:54:01.270, [N/A], [N/A], 203 MiB, 81920 MiB, 100.20 W
2026/08/03 07:54:01.272, [N/A], [N/A], 203 MiB, 81920 MiB, 94.85 W
2026/08/03 07:54:01.274, [N/A], [N/A], 203 MiB, 81920 MiB, 98.94 W
2026/08/03 07:54:01.276, 100 %, 90 %, 8817 MiB, 81920 MiB, 192.55 W
2026/08/03 07:54:31.277, [N/A], [N/A], 237 MiB, 81920 MiB, 96.70 W
2026/08/03 07:54:31.279, [N/A], [N/A], 237 MiB, 81920 MiB, 98.73 W
2026/08/03 07:54:31.281, [N/A], [N/A], 203 MiB, 81920 MiB, 95.86 W
2026/08/03 07:54:31.283, [N/A], [N/A], 203 MiB, 81920 MiB, 93.18 W
2026/08/03 07:54:31.286, [N/A], [N/A], 203 MiB, 81920 MiB, 96.76 W
2026/08/03 07:54:31.288, 100 %, 90 %, 8817 MiB, 81920 MiB, 258.11 W
2026/08/03 07:55:01.288, [N/A], [N/A], 237 MiB, 81920 MiB, 95.39 W
2026/08/03 07:55:01.323, [N/A], [N/A], 237 MiB, 81920 MiB, 96.03 W
2026/08/03 07:55:01.359, [N/A], [N/A], 203 MiB, 81920 MiB, 94.11 W
2026/08/03 07:55:01.362, [N/A], [N/A], 203 MiB, 81920 MiB, 91.52 W
2026/08/03 07:55:01.365, [N/A], [N/A], 203 MiB, 81920 MiB, 95.50 W
2026/08/03 07:55:01.367, 88 %, 56 %, 8817 MiB, 81920 MiB, 218.42 W
2026/08/03 07:55:31.368, [N/A], [N/A], 237 MiB, 81920 MiB, 94.59 W
2026/08/03 07:55:31.402, [N/A], [N/A], 237 MiB, 81920 MiB, 95.61 W
2026/08/03 07:55:31.427, [N/A], [N/A], 203 MiB, 81920 MiB, 93.33 W
2026/08/03 07:55:31.430, [N/A], [N/A], 203 MiB, 81920 MiB, 90.93 W
2026/08/03 07:55:31.433, [N/A], [N/A], 203 MiB, 81920 MiB, 95.00 W
2026/08/03 07:55:31.436, 92 %, 79 %, 8817 MiB, 81920 MiB, 295.09 W
2026/08/03 07:56:01.437, [N/A], [N/A], 237 MiB, 81920 MiB, 95.38 W
2026/08/03 07:56:01.471, [N/A], [N/A], 237 MiB, 81920 MiB, 95.22 W
2026/08/03 07:56:01.505, [N/A], [N/A], 203 MiB, 81920 MiB, 92.54 W
2026/08/03 07:56:01.523, [N/A], [N/A], 203 MiB, 81920 MiB, 90.53 W
2026/08/03 07:56:01.527, [N/A], [N/A], 203 MiB, 81920 MiB, 93.87 W
2026/08/03 07:56:01.529, 93 %, 83 %, 8817 MiB, 81920 MiB, 311.80 W
2026/08/03 07:56:31.530, [N/A], [N/A], 237 MiB, 81920 MiB, 95.06 W
2026/08/03 07:56:31.563, [N/A], [N/A], 237 MiB, 81920 MiB, 94.75 W
2026/08/03 07:56:31.568, [N/A], [N/A], 203 MiB, 81920 MiB, 92.15 W
2026/08/03 07:56:31.570, [N/A], [N/A], 203 MiB, 81920 MiB, 90.36 W
2026/08/03 07:56:31.572, [N/A], [N/A], 203 MiB, 81920 MiB, 94.60 W
2026/08/03 07:56:31.574, 87 %, 53 %, 8817 MiB, 81920 MiB, 284.82 W
2026/08/03 07:57:01.575, [N/A], [N/A], 237 MiB, 81920 MiB, 93.76 W
2026/08/03 07:57:01.609, [N/A], [N/A], 237 MiB, 81920 MiB, 94.72 W
2026/08/03 07:57:01.642, [N/A], [N/A], 203 MiB, 81920 MiB, 91.99 W
2026/08/03 07:57:01.645, [N/A], [N/A], 203 MiB, 81920 MiB, 90.13 W
2026/08/03 07:57:01.647, [N/A], [N/A], 203 MiB, 81920 MiB, 92.62 W
2026/08/03 07:57:01.649, 92 %, 68 %, 8817 MiB, 81920 MiB, 206.31 W
2026/08/03 07:57:31.650, [N/A], [N/A], 237 MiB, 81920 MiB, 94.60 W
2026/08/03 07:57:31.683, [N/A], [N/A], 237 MiB, 81920 MiB, 94.65 W
2026/08/03 07:57:31.712, [N/A], [N/A], 203 MiB, 81920 MiB, 91.78 W
2026/08/03 07:57:31.714, [N/A], [N/A], 203 MiB, 81920 MiB, 90.17 W
2026/08/03 07:57:31.716, [N/A], [N/A], 203 MiB, 81920 MiB, 92.98 W
2026/08/03 07:57:31.718, 97 %, 88 %, 8817 MiB, 81920 MiB, 297.65 W
2026/08/03 07:58:01.719, [N/A], [N/A], 237 MiB, 81920 MiB, 94.73 W
2026/08/03 07:58:01.755, [N/A], [N/A], 237 MiB, 81920 MiB, 94.45 W
2026/08/03 07:58:01.773, [N/A], [N/A], 203 MiB, 81920 MiB, 91.48 W
2026/08/03 07:58:01.776, [N/A], [N/A], 203 MiB, 81920 MiB, 89.97 W
2026/08/03 07:58:01.778, [N/A], [N/A], 203 MiB, 81920 MiB, 92.85 W
2026/08/03 07:58:01.780, 85 %, 57 %, 8817 MiB, 81920 MiB, 280.76 W
